,singer,genre,content,likes,sentiment,release_filled,release_rank,year,scaled_likes,feature
19164,Zephyrtone,일렉트로니카,Alone,60,stress,2019-11-26,0.7235171090364174,2019,0.00013933883721740342,0.7236564478736348
19165,Mielo,일렉트로니카,Lonely Game,23,stress,2019-11-19,0.7211453459539879,2019,5.3413220933337975e-05,0.7211987591749213
19166,Natania Karin,POP,To Love with a Fighting Heart,32,stress,2020-02-28,0.7497789948036828,2020,7.501558917712587e-05,0.7498540103928599
19167,Alan Walker,일렉트로니카,"Alone, Pt. II",8657,stress,2019-12-27,0.7335647599128917,2019,0.02010427189651769,0.7536690318094094
19168,Alessio Cappelli,일렉트로니카,Goodbye Goodbye,36,stress,2019-11-26,0.7235171090364174,2019,8.360330233044205e-05,0.7236007123387479
19169,오마이걸 (OH MY GIRL),발라드,꽃차 (Flower Tea),21770,stress,2020-04-27,0.7678043942301473,2020,0.05103404301206344,0.8188384372422108
19170,볼빨간사춘기,"인디음악, 포크/블루스",나의 사춘기에게,270631,stress,2017-09-28,0.4996873585027707,2017,0.49022825789646246,0.9899156163992331
19171,아이유,발라드,이름에게,204851,stress,2017-04-21,0.46411091226632745,2017,0.371072600176433,0.8351835124427605
19172,이하이,R&B/Soul,한숨,263297,stress,2016-03-09,0.3829966148472369,2016,0.9249038377096689,1.3079004525569058
19173,권진아,"발라드, 국내드라마",위로,57935,stress,2019-08-10,0.6827443455011968,2019,0.13454325890317112,0.8172876044043679
19174,앤씨아,"발라드, 국내드라마",너의 하루는 어때?,3532,stress,2019-11-16,0.7199379029302055,2019,0.008202412884197815,0.7281403158144033
19175,Sondia,"발라드, 국내드라마",어른,29969,stress,2018-05-18,0.5559412665214861,2018,0.07884317393168802,0.6347844404531742
19176,옥상달빛,"인디음악, 포크/블루스","수고했어, 오늘도",91902,stress,2011-04-26,0.21253153366825503,2011,0.4138424821002387,0.6263740157684937
19177,전진희,"발라드, 인디음악",우리의 슬픔이 마주칠 때 with 강아솔,2237,stress,2019-09-04,0.690722094051187,2019,0.005195016314255524,0.6959171103654426
19178,크르르,"R&B/Soul, 인디음악",어쩌면 이유가 필요한 밤,9119,stress,2019-11-24,0.7229996334547965,2019,0.021177180943091695,0.7441768143978882
19179,Cigarettes After Sex,록/메탈,Sweet,21904,stress,2017-06-09,0.4759050432307726,2017,0.039677493564906144,0.5155825367956788
19180,Billie Eilish,POP,bitches broken hearts,22111,stress,2018-03-30,0.5448155415166348,2018,0.05817015645512208,0.6029856979717569
19181,Drake,랩/힙합,Chicago Freestyle,3100,stress,2020-05-01,0.7691627676319025,2020,0.007267135201534068,0.7764299028334366
19182,LINKIN PARK,록/메탈,The Messenger,1819,stress,2010-09-14,0.19795597145259708,2010,0.011911154183637388,0.20986712563623447
19183,TOMMY YANG,랩/힙합,UnU (Feat. Bryn) (Prod. Santa Paine),230,stress,2019-04-01,0.6441924146704329,2019,0.0005341322093333797,0.6447265468797663
19184,Joji,록/메탈,Afterthought,1290,stress,2020-09-25,0.8140537743375236,2020,0.0030240659387028865,0.8170778402762264
19185,Joji,R&B/Soul,Window,1314,stress,2017-11-03,0.5113089976066755,2017,0.0023802148714520944,0.5136892124781276
19186,The Weeknd,R&B/Soul,Snowchild,3308,stress,2020-03-20,0.7567217921904311,2020,0.007754736531185386,0.7644765287216165
19187,YG,랩/힙합,Hard Bottoms & White Socks,357,stress,2019-05-24,0.6601910347355485,2019,0.0008290660814435503,0.661020100816992
19188,XXXTENTACION,랩/힙합,hate will never win,2308,stress,2017-12-20,0.5236637271178767,2017,0.004180773153205048,0.5278445002710818
19189,펀치넬로 (punchnello),랩/힙합,homesickness (Feat. sogumm) (Prod. by 0channel),11680,stress,2019-01-28,0.6257789085577525,2019,0.027124626978321197,0.6529035355360737
19190,Mac Miller,랩/힙합,Circles,7620,stress,2020-01-17,0.737402703809914,2020,0.017863087172803098,0.7552657909827171
19191,XXXTENTACION,랩/힙합,Valentine,623,stress,2017-05-16,0.469630651803618,2017,0.0011285189230705135,0.47075917072668855
19192,Joji,R&B/Soul,YEAH RIGHT,3933,stress,2018-10-26,0.5978999115979216,2018,0.010347032035547698,0.6082469436334692
19193,Joji,R&B/Soul,TEST DRIVE,3980,stress,2018-10-26,0.5978999115979216,2018,0.0104706807784083,0.6083705923763298
19194,기리보이,랩/힙합,별이지고있다,20197,stress,2019-12-02,0.7255870113629014,2019,0.04690377492133161,0.772490786284233
19195,Slash,록/메탈,Gotten (Feat. Adam Levine Of Maroon 5),4538,stress,2010-04-06,0.1911856659263891,2010,0.029715677671988162,0.22090134359837726
19196,NO:EL,랩/힙합,연기대상,13814,stress,2018-04-10,0.5474244809073072,2018,0.03634220710375182,0.583766688011059
19197,Kacy Hill,POP,Like A Woman,1418,stress,2017-06-30,0.4811876064598202,2017,0.002568603263104315,0.48375620972292455
19198,Jorja Smith,R&B/Soul,I Am,3399,stress,2018-02-09,0.535026628430971,2018,0.008942171850705982,0.543968800281677
19199,Joji,R&B/Soul,COME THRU,1520,stress,2018-10-26,0.5978999115979216,2018,0.003998852960598144,0.6018987645585196
